# 400 test tickets, seed 42. For each label model: the full priority posterior, the c-mu index it implies, and the rank that index gives the ticket at t=0. Sorted by the binary-relevance rank so that disagreements between models are adjacent and readable.
id,language,gold_priority,pred_priority,pred_intent,p_negative,marginal__pLow,marginal__pMedium,marginal__pHigh,marginal__cmu_index,marginal__rank,chain-intent__pLow,chain-intent__pMedium,chain-intent__pHigh,chain-intent__cmu_index,chain-intent__rank,chain-full__pLow,chain-full__pMedium,chain-full__pHigh,chain-full__cmu_index,chain-full__rank,logpool__pLow,logpool__pMedium,logpool__pHigh,logpool__cmu_index,logpool__rank,stacked__pLow,stacked__pMedium,stacked__pHigh,stacked__cmu_index,stacked__rank
1418,english,High,High,compromised_card,0.0122660463675856,0.0001157581427833,0.0001462882064515,0.9997380375862122,0.0333260614840583,1,0.016303507193845095,0.0031699861684719973,0.9805265780831832,0.03274460146083055,5,0.016778607925727256,0.004356246195680475,0.9788652173240925,0.03270009806227902,4,0.0013846599561665983,0.0006863729803595486,0.9979289670634739,0.03327290338519414,2,0.00845995072124669,0.000583523953713673,0.9909565253250396,0.03305437177445154,5
1415,english,High,High,compromised_card,0.0003531078691594,0.0002080607664538,5.527602479560301e-05,0.9997366070747375,0.03332544766262799,2,0.013467373255115541,0.0012779802757015468,0.9852545968619831,0.032880526758645105,2,0.013686108506971474,0.0012861644349855448,0.9850276774508432,0.03287348667804251,3,0.0016833388403566449,0.00026727939446565896,0.9980493817651778,0.03327404700971055,1,0.008520279700902918,0.0005768820855258055,0.9909028382135714,0.033052652540541974,6
1415,sinhala,High,High,compromised_card,0.0002751256106421,0.0002241063484689,5.341604264685884e-05,0.9997225403785706,0.033324996701200385,3,0.013481247706501954,0.0012680333763881177,0.9852507658739097,0.032880345073322104,3,0.013699087803004922,0.001268067300084945,0.9850328918537103,0.03287353672221398,2,0.0017478548857416305,0.00026170646398328723,0.997990438650275,0.033272170206554326,3,0.00852254003488078,0.0005769690973680313,0.9909004908677512,0.03305257972980911,7
479,english,High,High,lost_or_stolen_card,0.0163633693009614,0.0002470769104547,5.246452201390639e-05,0.9997005462646484,0.03332430349006851,4,0.05079528978712863,0.0015825971579625747,0.9476220513048089,0.03170641354019984,16,0.05333192495925476,0.0019671243839023173,0.9447008889067432,0.031617530510422404,14,0.0036255116449464297,0.00029488966803737667,0.9960795986870162,0.03321266385272782,10,0.009325883563158912,0.0006695226369168576,0.9900045937999242,0.033025161406061695,16
1090,sinhala,High,High,card_payment_not_recognised,0.9994235038757324,0.0002464530989527,6.140678306110203e-05,0.99969220161438,0.03332409855429432,5,0.014470968076499967,0.003847121278873461,0.9816818846041266,0.03278493668095421,4,0.006539173581353309,0.040868125597674006,0.9525926747804729,0.03210728015095753,8,0.0019017685167270026,0.0004894607075854588,0.9976087707756875,0.03326166654949598,4,0.002876677120289292,0.00019166933643592973,0.9969316535432748,0.0332386454399134,1
1672,tamilish,High,High,lost_or_stolen_card,0.0871824771165847,0.0002715687151066,5.380084621720016e-05,0.999674677848816,0.03332350337016882,6,0.05133035020817623,0.0018573132773167691,0.9468124270910068,0.031682830076611566,17,0.050568388867798006,0.003852246556438045,0.9455794551522638,0.03165676803652036,13,0.0038217443546878045,0.0003235726372991326,0.995854683008013,0.033205814506316864,11,0.008650123448095582,0.0006211227075022772,0.9907287538444021,0.03304748890789278,11
2720,english,High,High,cash_withdrawal_not_recognised,0.0002039297833107,0.0002906238660216,4.539233850664459e-05,0.9996639490127563,0.033323115369633644,7,0.020009509592783598,0.013585485642760095,0.9664049978389561,0.032368398786639836,10,0.02219214352862834,0.014995099461977199,0.9628127500838949,0.032264951130664285,7,0.0024454965392821525,0.000796364806027759,0.9967581386546901,0.03323700244633007,6,0.008570124333549416,0.0006428393564628859,0.9907870363099877,0.033049445963998336,9
1489,english,High,High,direct_debit_payment_not_recognised,0.0002309581323061,0.0002662724873516,0.0001464348752051,0.9995872378349304,0.033321349619473035,8,0.08370298764194263,0.017538973847063852,0.8987579039367931,0.03027913613753935,25,0.08511313994699914,0.012306166482828129,0.9025805589959727,0.03036588906211224,25,0.004947822195084911,0.0016795959108014957,0.9933725818941136,0.03313672399196689,16,0.01025583982243951,0.0008736721303826111,0.9888704880471778,0.03299099653562253,20
452,tamil,High,High,lost_or_stolen_card,0.0002231443068012,0.0003606897371355,4.915747922495939e-05,0.9995900988578796,0.0333208310445419,9,0.05077587012090661,0.0014064602206511393,0.9478176078157423,0.031711423825115395,13,0.05405999052488015,0.0014289674898444397,0.9445109801425754,0.03160823238076139,15,0.0043762303569872055,0.0002688828652443814,0.9953548867777685,0.03318985406304637,12,0.009500893145795553,0.0006812642734551969,0.9898178425807493,0.03301939881569085,17
1407,singlish,High,High,card_payment_not_recognised,0.0009661065996624,0.0003464299661573,7.609360181959346e-05,0.9995774626731871,0.03332060459821756,10,0.015204935711719294,0.005869478613835933,0.9789255939344448,0.03271144240232954,6,0.015664943065062165,0.0058432476068160846,0.9784918175881213,0.03269772294771306,5,0.002313224883770082,0.0006735838578036136,0.9970131912584264,0.033244205459270426,5,0.008524743390276333,0.0005987628882998227,0.9908764937214241,0.03305196603017971,8
1481,sinhala,High,High,direct_debit_payment_not_recognised,0.0002072806091746,0.0004123393737245,6.182896322570741e-05,0.999525785446167,0.03331890046326104,11,0.08338815286728592,0.0172392044022354,0.8993725495206786,0.03029647033918143,22,0.08479294304646519,0.011997575413184613,0.90320938833055,0.03038361137080834,22,0.00613995729530456,0.0010810365174935609,0.9927790061872019,0.033114433754917724,17,0.010258118192982182,0.0008709462118499165,0.9888709355951677,0.03299099348450638,21
1671,tamil,High,High,lost_or_stolen_phone,0.0004623031709343,0.0004348491202108,5.568022243096493e-05,0.9995094537734984,0.03331835172997064,12,0.18282597727183628,0.02574539437788453,0.7914287734999791,0.026976391522464664,29,0.1858505701847153,0.026154369415013253,0.7879952055499715,0.026871648618008982,27,0.009912387328037382,0.0013310374434265938,0.988756575228536,0.0329902952932465,22,0.013520412841038535,0.0014245841078230762,0.9850550030511385,0.032875205829355304,27
2743,tamil,High,High,cash_withdrawal_not_recognised,0.0003051339299418,0.0004520738439168,4.811135659110733e-05,0.9994997978210448,0.03331800267584791,13,0.019782038037545524,0.013483628778619451,0.966734232970355,0.03237805058474521,9,0.021960834787220947,0.014895796888589686,0.9631432681107097,0.03227465898356861,6,0.0030305499698102035,0.0008162222737694584,0.9961532277564203,0.03321822308993253,9,0.008576900250491844,0.0006422251439220714,0.9907808746055861,0.03304924957190741,10
462,tamil,High,High,lost_or_stolen_card,0.000345493259374,0.0005701199988834,5.9703117585740983e-05,0.9993701577186584,0.033314023866599506,14,0.052696547630315525,0.0018929386750739735,0.945410461525411,0.031639241014035806,18,0.05597245305269381,0.001917138068617347,0.9421103567094892,0.031536263984747896,18,0.005605435951202926,0.0003437968992721942,0.9940507671495249,0.03314956853737644,15,0.009565414909454513,0.0006898701899194687,0.989744714900626,0.03301716736266489,19
1916,sinhala,High,High,terminate_account,0.9996132254600524,0.0003597678442019,0.0003327690938021,0.9993075132369996,0.03331377303335709,15,0.019993243013898217,0.0010476976793240337,0.9789589114257776,0.03268234711779924,8,0.042521168130025794,0.002997376626835841,0.9544813073621384,0.031929607484232465,12,0.002702629258528127,0.0005950084906201048,0.9967023622508517,0.03323400095673883,7,0.0029397607827196842,0.00019334586708223044,0.9968668933501981,0.033236632162196286,2
